,name_x,cuisine,description_x,price_category,breakfast,lunch,sandwiches,city,post_code,street,number,number_addon,phone,url,latitude,longitude,delivery_charge,min_order,payment_cash,payment_card,waiting_time,delivery_time,delivery_postcode,rating_value,rating_count,data_source,host,name_y,description_y,price
0,Afandina Lebanese Cusine,"['Burgers', 'Kebab']","Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights",,,,,London,SW9 9TN,Stockwell Rd,133,,02077377577,afandinalebanesecusine.co.uk,51.467297,-0.117402,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,afandinalebanesecusine.co.uk,Falafel Special,"Deep fried mixture of ground chickpeas and broad beans with spices served with hummus, salad, lebanese bread and tahina sauce.",10.50
1,Afandina Lebanese Cusine,"['Burgers', 'Kebab']","Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights",,,,,London,SW9 9TN,Stockwell Rd,133,,02077377577,afandinalebanesecusine.co.uk,51.467297,-0.117402,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,afandinalebanesecusine.co.uk,Fattoush,"Lettuce, tomato, cucumber, mint, onion, radish, summac, toasted lebanese bread with lemon juice and olive oil dressing.",5.95
2,Afandina Lebanese Cusine,"['Burgers', 'Kebab']","Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights",,,,,London,SW9 9TN,Stockwell Rd,133,,02077377577,afandinalebanesecusine.co.uk,51.467297,-0.117402,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,afandinalebanesecusine.co.uk,Adandina Halloumi Salad,"Grilled halloumi with aubergine, green and red pepper, olives, tomato, onion and olive oil.",7.95
3,Afandina Lebanese Cusine,"['Burgers', 'Kebab']","Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights",,,,,London,SW9 9TN,Stockwell Rd,133,,02077377577,afandinalebanesecusine.co.uk,51.467297,-0.117402,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,afandinalebanesecusine.co.uk,Chicken Wings,Charcoal grilled marinated chicken wings served with garlic sauce.,5.50
4,Afandina Lebanese Cusine,"['Burgers', 'Kebab']","Afandina Lebanese Cusine in London offers a variety of Great Tasting Grilled Chicken,Kebabs,Rice Dishes,Seafood Dishes & Many More Delights",,,,,London,SW9 9TN,Stockwell Rd,133,,02077377577,afandinalebanesecusine.co.uk,51.467297,-0.117402,2,5,ENABLED,YES,10,30,SW9 9,0.0,3,foodhub,afandinalebanesecusine.co.uk,Grilled Sea Bass Fish,Charcoal grilled whole sea bass served with rice or chips,15.95
5,Bari Pizzeria,"['Desserts', 'Pasta', 'Pizza']",,,,,,Battersea Park,SW11 3JS,Battersea High Street,173,,02036014454,bari-pizzeria.com,51.47048650312532,-0.171910711962604,2,5,ENABLED,YES,5,30,SW9 9,0.0,4,foodhub,bari-pizzeria.com,All For One,"13"" Pizza, 6pcs Chicken Wings, Garlic Bread and Can of Soft Drink",14.99
6,Bari Pizzeria,"['Desserts', 'Pasta', 'Pizza']",,,,,,Battersea Park,SW11 3JS,Battersea High Street,173,,02036014454,bari-pizzeria.com,51.47048650312532,-0.171910711962604,2,5,ENABLED,YES,5,30,SW9 9,0.0,4,foodhub,bari-pizzeria.com,8pcs Chicken Strips,Strips of breaded Chicken Breast served with a choice of Dip,4.99
7,Bari Pizzeria,"['Desserts', 'Pasta', 'Pizza']",,,,,,Battersea Park,SW11 3JS,Battersea High Street,173,,02036014454,bari-pizzeria.com,51.47048650312532,-0.171910711962604,2,5,ENABLED,YES,5,30,SW9 9,0.0,4,foodhub,bari-pizzeria.com,Any Pizza Any Size,,10.99
8,Bari Pizzeria,"['Desserts', 'Pasta', 'Pizza']",,,,,,Battersea Park,SW11 3JS,Battersea High Street,173,,02036014454,bari-pizzeria.com,51.47048650312532,-0.171910711962604,2,5,ENABLED,YES,5,30,SW9 9,0.0,4,foodhub,bari-pizzeria.com,8pcs Spicy Chicken Wings,,3.99
9,Bari Pizzeria,"['Desserts', 'Pasta', 'Pizza']",,,,,,Battersea Park,SW11 3JS,Battersea High Street,173,,02036014454,bari-pizzeria.com,51.47048650312532,-0.171910711962604,2,5,ENABLED,YES,5,30,SW9 9,0.0,4,foodhub,bari-pizzeria.com,Bari Deal,"2x 15"" pizzas",19.95
